team,classification,district,games_played,starting_year,starting_off,starting_def,starting_ovr,final_off,final_def,final_ovr
Nixa,6,5,3,2025,34.62,28.11,62.72,36.96114073699155,31.621077643838643,68.5822183808302
Blue Springs South,6,6,3,2025,37.0,40.13,77.13,31.320847969576253,34.898920528823545,66.2197684983998
Christian Brothers College,6,2,2,2025,43.39,28.13,71.51,41.47065052789545,23.760033236335296,65.23068376423075
Platte County,5,8,3,2025,37.87,28.75,66.63,34.92418036244699,29.29209861823612,64.21627898068311
Blue Springs,6,6,3,2025,27.1,31.54,58.64,31.92595352669329,31.851438136779016,63.77739166347231
Jackson,6,1,1,2025,39.64,25.95,65.59,37.3305962106774,25.606741145900617,62.93733735657801
Kearney,4,8,3,2025,23.52,32.01,55.53,26.71695781411477,34.73649873566108,61.45345654977585
Lee's Summit North,6,6,2,2025,30.8,25.19,55.99,28.527464521580193,30.086086553556648,58.61355107513684
Lee's Summit,6,6,2,2025,27.71,31.68,59.39,23.204997573098478,35.25513562975922,58.460133202857705
Carthage,5,6,3,2025,26.0,31.96,57.95,26.5075903236448,29.567221907482896,56.074812231127694
Liberty North,6,8,3,2025,29.53,25.71,55.24,28.13912859693041,25.93715612464421,54.07628472157462
Rockhurst,6,7,1,2025,27.95,28.09,56.03,24.958082806891678,27.23896336299047,52.19704616988215
Helias Catholic,5,5,3,2025,24.26,26.91,51.16,26.316548882054782,25.156238412732538,51.472787294787324
Cardinal Ritter,5,3,2,2025,25.84,30.95,56.79,25.344270395425376,25.301771606276525,50.6460420017019
Republic,5,6,3,2025,28.32,23.74,52.06,25.105534251580632,25.0981003294772,50.203634581057834
North Kansas City,6,7,3,2025,32.82,11.96,44.78,28.683110856221255,19.789632105251126,48.47274296147238
Lee's Summit West,6,7,3,2025,28.66,24.09,52.75,24.56940840237614,23.55209746967221,48.121505872048346
St. Pius X (Kansas City),3,8,3,2025,18.61,16.14,34.74,20.722753187983372,25.70565114136732,46.42840432935069
Park Hill,6,8,3,2025,23.48,28.06,51.54,21.415620246495838,24.838864968716347,46.254485215212185
Raymore-Peculiar,6,7,2,2025,8.52,22.77,31.29,17.66675381469568,28.483741492695117,46.1504953073908
De Smet Jesuit,6,2,3,2025,30.89,8.58,39.47,32.7098154571591,11.97806430035509,44.687879757514196
Kirkwood,6,2,2,2025,23.76,19.92,43.68,27.370547069138908,17.25624347859999,44.6267905477389
Troy Buchanan,6,4,2,2025,23.19,13.85,37.05,27.726524502473524,15.673344738116922,43.39986924059045
Webb City,5,6,3,2025,24.77,18.59,43.36,20.63916548734271,21.593644911736106,42.232810399078815
Liberty,6,8,3,2025,30.09,30.25,60.34,23.315441682676706,18.469191049202223,41.78463273187893
Staley,6,8,2,2025,18.79,23.56,42.35,17.470891898022558,23.69246951586186,41.16336141388442
Savannah,4,8,3,2025,14.98,21.46,36.44,17.53866831204513,22.996583196970697,40.53525150901582
Eureka,5,2,3,2025,12.89,25.31,38.2,20.527888937623594,19.489630679123934,40.01751961674753
Blair Oaks,2,5,3,2025,26.8,23.28,50.08,22.173027252645188,17.42756776913129,39.60059502177648
SLUH,6,3,3,2025,10.42,28.1,38.51,8.848645353806381,30.22653436626432,39.0751797200707
Lafayette (Wildwood),6,2,3,2025,30.98,20.3,51.28,20.240784967251408,18.546119385629158,38.78690435288057
Farmington,5,1,3,2025,24.39,6.21,30.6,26.44759835748635,12.236740484007615,38.68433884149397
Hannibal,4,4,3,2025,21.11,24.82,45.93,17.724717151772428,20.49843979696817,38.223156948740595
Neosho,5,6,3,2025,22.89,11.6,34.5,22.841038151836315,14.685580407991807,37.52661855982812
Hickman,6,6,3,2025,16.77,15.63,32.4,17.108726117734523,19.959506514496343,37.06823263223087
Grain Valley,5,7,3,2025,27.08,17.05,44.13,20.48401107262123,16.255374526674096,36.739385599295325
Joplin,6,5,3,2025,18.03,19.58,37.61,16.10058282691997,19.816953208213103,35.91753603513307
Seneca,3,6,3,2025,26.21,15.91,42.11,19.348767115353876,15.941956199359511,35.29072331471339
Rock Bridge,6,6,3,2025,14.61,24.97,39.58,13.866881866112658,20.976795862888356,34.843677729001016
Capital City,5,7,2,2025,19.38,14.08,33.46,14.980386061355855,17.732108231920126,32.71249429327598
Valle Catholic,2,2,3,2025,10.65,13.1,23.75,15.796570044939124,16.605509122412567,32.40207916735169
Fort Osage,5,8,3,2025,15.51,18.57,34.07,14.935575183526447,16.541980313550514,31.477555497076963
Cassville,3,6,3,2025,12.35,10.74,23.09,14.298336791209454,16.76895592036097,31.067292711570424
