class,district,rank,team,total_points,wins,losses,games_played,games_counted_in_sos,avg_win_loss,avg_class_bonus,avg_differential,sos_term
1,1,1,Thayer,50.8056,2,2,4,4,15.0,17.5,2.75,15.5556
1,1,2,Portageville,48.1136,3,1,4,4,17.5,5.0,9.25,16.3636
1,1,3,Hayti,39.5833,3,1,4,4,17.5,2.5,3.75,15.8333
1,1,4,Charleston,39.1667,2,2,4,4,15.0,12.5,-2.5,14.1667
1,1,5,Malden,31.0,1,3,4,4,12.5,10.0,-6.5,15.0
1,1,6,Cabool,27.3333,1,3,4,4,12.5,10.0,-8.5,13.3333
1,2,1,Louisiana,55.0,4,0,4,4,20.0,10.0,12.5,12.5
1,2,2,Veritas Christian Academy,48.0,2,0,2,2,20.0,5.0,13.0,10.0
1,2,3,Crystal City,41.0,1,3,4,4,12.5,22.5,-6.5,12.5
1,2,4,Principia,39.0,1,2,3,3,13.3333,16.6667,-4.3333,13.3333
1,2,5,Grandview (Hillsboro),25.5,0,4,4,4,10.0,12.5,-13.0,16.0
1,3,1,Pierce City,45.9167,3,1,4,4,17.5,5.0,4.25,19.1667
1,3,2,Miller,43.2045,3,1,4,4,17.5,2.5,7.75,15.4545
1,3,3,Ash Grove,42.9167,3,1,4,4,17.5,7.5,3.75,14.1667
1,3,4,Marionville,36.4167,2,2,4,4,15.0,7.5,-0.25,14.1667
1,3,5,Diamond,23.6667,0,3,3,3,10.0,10.0,-13.0,16.6667
1,4,1,Tipton with Bunceton,56.3333,4,0,4,4,20.0,7.5,13.0,15.8333
1,4,2,Russellville,55.2222,4,0,4,4,20.0,10.0,13.0,12.2222
1,4,3,Skyline,47.0833,3,1,4,4,17.5,5.0,8.75,15.8333
1,4,4,Windsor,32.5,2,2,4,4,15.0,2.5,0.0,15.0
1,4,5,Linn,21.1667,0,4,4,4,10.0,12.5,-13.0,11.6667
1,5,1,Carrollton,54.6667,4,0,4,4,20.0,7.5,13.0,14.1667
1,5,2,Sherwood,44.0,3,1,4,4,17.5,10.0,4.0,12.5
1,5,3,North Platte,31.3333,1,3,4,4,12.5,5.0,-2.0,15.8333
1,5,4,Adrian,30.9167,1,3,4,4,12.5,12.5,-8.25,14.1667
1,5,5,Crest Ridge with Chilhowee,26.75,1,3,4,4,12.5,7.5,-8.25,15.0
1,6,1,East Buchanan,45.0,3,1,4,4,17.5,7.5,5.0,15.0
1,6,2,Plattsburg,41.8333,3,1,4,4,17.5,5.0,3.5,15.8333
1,6,3,Penney,38.1667,2,2,4,4,15.0,5.0,1.5,16.6667
1,6,4,South Harrison,26.4545,1,3,4,4,12.5,2.5,-4.0,15.4545
1,6,5,Gallatin with Tri-County,25.9773,2,2,4,4,15.0,0.0,-1.75,12.7273
1,6,6,Maysville,19.3333,0,4,4,4,10.0,5.0,-11.5,15.8333
1,7,1,Salisbury,45.7273,4,0,4,4,20.0,0.0,13.0,12.7273
1,7,2,Westran,36.0833,3,1,4,4,17.5,0.0,5.25,13.3333
1,7,3,Fayette,24.4167,1,3,4,4,12.5,2.5,-7.25,16.6667
1,7,4,Van-Far,23.75,1,3,4,4,12.5,2.5,-8.75,17.5
1,7,5,Harrisburg,16.0833,0,4,4,4,10.0,2.5,-12.25,15.8333
1,8,1,South Shelby,44.9167,3,1,4,4,17.5,7.5,5.75,14.1667
1,8,2,Scotland County,42.4773,3,1,4,4,17.5,7.5,4.75,12.7273
1,8,3,Putnam County,33.4167,2,2,4,4,15.0,2.5,-0.75,16.6667
1,8,4,Marceline,31.8333,2,2,4,4,15.0,5.0,-1.5,13.3333
1,8,5,Milan,11.4444,0,3,3,3,10.0,0.0,-13.0,14.4444
2,1,1,St. Vincent,59.8333,4,0,4,4,20.0,12.5,11.5,15.8333
2,1,2,Saxony Lutheran,42.8889,2,1,3,3,16.6667,6.6667,4.0,15.5556
2,1,3,Caruthersville,40.1364,3,1,4,4,17.5,2.5,6.5,13.6364
2,1,4,Kelly,34.8333,2,2,4,4,15.0,5.0,1.5,13.3333
2,1,5,Central (New Madrid County),20.7955,1,3,4,4,12.5,0.0,-6.25,14.5455
2,1,6,East Prairie,18.0,1,3,4,4,12.5,2.5,-9.5,12.5
2,2,1,Valle Catholic,62.1667,4,0,4,4,20.0,12.5,13.0,16.6667
2,2,2,Jefferson (Festus),40.8333,2,2,4,4,15.0,12.5,0.0,13.3333
2,2,3,Miller Career Academy with Sumner,35.5455,1,3,4,4,12.5,15.0,-6.5,14.5455
2,2,4,Montgomery County,25.5833,2,2,4,4,15.0,0.0,-2.75,13.3333
2,2,5,Duchesne,19.5,0,3,3,3,10.0,10.0,-13.0,12.5
2,2,6,Hermann,17.8333,0,4,4,4,10.0,5.0,-13.0,15.8333
2,2,7,Confluence Prep Academy Charter,11.5,0,4,4,4,10.0,2.5,-13.0,12.0
2,3,1,Fair Grove,56.7045,4,0,4,4,20.0,10.0,11.25,15.4545
2,3,2,Springfield Catholic,47.6364,4,0,4,4,20.0,2.5,11.5,13.6364
2,3,3,Liberty (Mountain View),40.0,3,1,4,4,17.5,2.5,5.0,15.0
2,3,4,Houston,34.8333,2,2,4,4,15.0,2.5,1.5,15.8333
2,3,5,Ava,33.0833,2,2,4,4,15.0,7.5,-5.25,15.8333
