date,team1,team1_classified,score1,team2,team2_classified,score2,forfeit,overtime
2026-08-28,Willow Springs,True,22,Ash Grove,True,24,False,False
2026-08-28,Lamar,True,49,Aurora,True,13,False,False
2026-08-28,Grandview,True,41,Battle,True,6,False,False
2026-08-28,Van Horn,True,14,Benton,True,30,False,False
2026-08-28,Hollister,True,24,Berryville (AR.),False,40,False,False
2026-08-28,Maryville,True,21,Blair Oaks,True,7,False,False
2026-08-28,Excelsior Springs,True,22,Boonville,True,54,False,False
2026-08-28,Harrison (AR.),False,28,Branson,True,16,False,False
2026-08-27,Diamond,True,14,Buffalo,True,55,False,False
2026-08-28,Adrian,True,27,Butler,True,26,False,False
2026-08-28,Miller,True,66,Cabool,True,0,False,False
2026-08-28,Lutheran North,True,18,Cardinal Ritter,True,30,False,False
2026-08-28,Fayette,True,0,Carrollton,True,42,False,False
2026-08-28,Gosnell (AR.),False,41,Caruthersville,True,14,False,False
2026-08-28,Monett,True,18,Cassville,True,47,False,False
2026-08-28,Liberty (Wentzville),True,3,Central (Cape Girardeau),True,17,False,False
2026-08-29,Lathrop,True,16,Central (Kansas City),True,0,False,False
2026-08-28,Sikeston,True,32,Central (Park Hills),True,7,False,False
2026-08-28,Staley,True,31,Central (St. Joseph),True,12,False,False
2026-08-28,Palmyra,True,13,Chillicothe,True,18,False,False
2026-08-28,Trinity Catholic (KY.),False,52,Christian Brothers College,True,21,False,False
2026-08-28,Bowling Green,True,47,Clark County,True,12,False,False
2026-08-28,St. Charles West,True,62,Clayton with Brentwood,True,16,False,False
2026-08-28,Capital City,True,7,Conway (AR.),False,45,False,False
2026-08-28,Lift for Life Academy Charter,True,0,De Smet Jesuit,True,20,False,False
2026-08-28,St. Vincent,True,14,DeSoto,True,7,False,False
2026-08-28,Bayless with Hancock,True,14,Dupo (IL.),False,26,False,False
2026-08-28,Marshall,True,43,East (Kansas City),True,0,False,False
2026-08-28,Marceline,True,13,Father Tolton,True,42,False,False
2026-08-28,Rockwood Summit,True,38,Festus,True,34,False,False
2026-08-28,Ava,True,14,Forsyth,True,12,False,False
2026-08-28,Mehlville,True,23,Fox,True,49,False,False
2026-08-28,O'Fallon (IL.),False,27,Francis Howell,True,26,False,False
2026-08-28,Northwest (Cedar Hill),True,26,Francis Howell Central,True,13,False,False
2026-08-28,Pattonville,True,33,Ft. Zumwalt North,True,13,False,False
2026-08-27,Orchard Farm,True,22,Ft. Zumwalt South,True,14,False,False
2026-08-28,Moberly,True,41,Fulton,True,0,False,False
2026-08-29,McCluer,True,8,Gateway with Soldan International Studies,True,30,False,False
2026-08-29,St. Pius X (Festus),True,21,Gibson Southern,False,37,False,False
2026-08-28,Webb City,True,42,Glendale,True,6,False,False
2026-08-28,Ruskin,True,13,Grain Valley,True,57,False,False
2026-08-28,Macon,True,14,Hallsville,True,28,False,False
2026-08-28,Helias Catholic,True,45,Hannibal,True,29,False,False
2026-08-28,South Shelby,True,22,Harrisburg,True,12,False,False
2026-08-29,Hazelwood East,True,13,Hazelwood West,True,21,False,False
2026-08-28,Affton,True,0,Herculaneum,True,42,False,False
2026-08-28,Camdenton,True,47,Heritage (AR.),False,40,False,False
2026-08-28,Ft. Zumwalt West,True,14,Hickman,True,54,False,False
2026-08-28,Mark Twain,True,28,Highland,True,12,False,False
2026-08-28,Kennett,True,6,Hillsboro,True,48,False,False
2026-08-28,Tipton with Bunceton,True,60,Holden,True,14,False,False
2026-08-28,Edwardsville (IL.),False,7,Jackson,True,55,False,False
2026-08-28,Ft. Zumwalt East,True,24,Jacksonville (IL.),False,48,False,False
2026-08-28,Windsor (Imperial),True,34,Jefferson (Festus),True,20,False,False
2026-08-28,John Burroughs,True,14,Jennings,True,20,False,False
2026-08-28,Belton,True,0,Kearney,True,42,False,False
2026-08-28,Charleston,True,28,Kelly,True,21,False,False
2026-08-28,Joplin,True,14,Kickapoo,True,10,False,False
2026-08-29,"Pleasant Hope with Halfway, Marion C. Early",True,32,KIPP KC Legacy,True,38,False,False
2026-08-28,Southern Boone,True,21,Kirksville,True,3,False,False
2026-08-28,Clinton,True,48,Knob Noster with Leeton,True,7,False,False
2026-08-28,MICDS,True,24,Ladue Horton Watkins,True,38,False,False
2026-08-28,Timberland,True,21,Lafayette (Wildwood),True,28,False,False
2026-08-28,Warsaw,True,21,Lawson,True,23,False,False
2026-08-28,Republic,True,35,Lebanon,True,0,False,False
2026-08-28,Blue Springs South,True,17,Lee's Summit,True,20,False,False
2026-08-28,Park Hill South,True,7,Lee's Summit North,True,27,False,False
2026-08-28,Lone Jack with Kingsville,True,27,Lexington,True,6,False,False
2026-08-28,Raymore-Peculiar,True,35,Liberty,True,3,False,False
2026-08-28,Scott City with Chaffee,True,15,Liberty (Mountain View),True,50,False,False
2026-08-28,University Academy Charter with Ewing Marion Kauffman,True,7,Lincoln College Prep,True,10,False,False
2026-08-27,Vianney,True,35,Lindbergh,True,23,False,False
2026-08-28,Cuba with Steelville,True,46,Linn,True,26,False,False
2026-08-28,California,True,14,Logan-Rogersville,True,46,False,False
2026-08-28,Grandview (Hillsboro),True,6,Louisiana,True,42,False,False
2026-08-28,Duchesne,True,7,Lutheran South,True,42,False,False
2026-08-28,University City,True,67,Lutheran St. Charles,True,0,False,False
2026-08-28,Priory,True,38,Malden,True,24,False,False
2026-08-28,Clever,True,13,Marionville,True,8,False,False
2026-08-28,Chaminade College Prep,True,41,Marquette,True,21,False,False
2026-08-28,McDonald County,True,26,Marshfield,True,22,False,False
2026-08-28,Centralia,True,28,Mexico,True,7,False,False
2026-08-28,West Plains,True,43,Miller Career Academy with Sumner,True,6,False,False
2026-08-28,Brookfield,True,20,Monroe City,True,6,False,False
2026-08-28,Hermann,True,6,Montgomery County,True,36,False,False
2026-08-28,Fair Grove,True,25,Mountain Grove,True,13,False,False
2026-08-28,Nevada,True,24,Mt. Vernon,True,20,False,False
2026-08-28,Carthage,True,13,Nixa,True,42,False,False
2026-08-27,Confluence Prep Academy Charter,True,0,Normandy Collaborative,True,49,False,False
2026-08-28,Farmington,True,48,North County,True,3,False,False
2026-08-28,Blue Springs,True,38,North Kansas City,True,12,False,False
2026-08-28,Gallatin with Tri-County,True,20,North Platte,True,14,False,False
2026-08-27,Hogan Prep Academy Charter,True,48,Northeast (Kansas City),True,8,False,False
2026-08-28,Fort Osage,True,34,Oak Park,True,44,False,False
2026-08-28,Cameron,True,12,Odessa,True,58,False,False
2026-08-28,Bolivar,True,41,Osage,True,6,False,False
2026-08-28,Eldon,True,27,Owensville,True,23,False,False
2026-08-28,Neosho,True,49,Ozark,True,23,False,False
2026-08-28,St. Francis Borgia,True,41,Pacific,True,14,False,False
2026-08-28,Liberty North,True,31,Park Hill,True,17,False,False
2026-08-28,Reeds Spring,True,7,Parkview,True,6,False,False
2026-08-28,Parkway South,True,49,Parkway Central,True,28,False,False
2026-08-27,Parkway North,True,21,Parkway West,True,24,False,False
2026-08-28,Lafayette County,True,14,Penney,True,15,False,False
2026-08-28,Fredericktown,True,0,Perryville,True,16,False,False
2026-08-28,Houston,True,19,Pierce City,True,41,False,False
2026-08-28,Doniphan,True,40,Piggott (AR.),False,14,False,False
2026-08-28,Winnetonka,True,7,Platte County,True,56,False,False
2026-08-28,Windsor,True,12,Plattsburg,True,28,False,False
2026-08-28,Savannah,True,38,Pleasant Hill,True,0,False,False
2026-08-28,Jefferson City,True,32,Poplar Bluff,True,22,False,False
2026-08-28,East Prairie,True,0,Portageville,True,48,False,False
2026-08-28,St. Clair,True,0,Potosi,True,12,False,False
2026-08-28,Truman,True,0,Raytown,True,71,False,False
2026-08-28,Oak Grove,True,10,Richmond,True,30,False,False
2026-08-28,Kirkwood,True,66,Ritenour,True,22,False,False
2026-08-29,Principia,True,28,Riverview Gardens,True,66,False,False
2026-08-28,Lee's Summit West,True,27,Rock Bridge,True,21,False,False
2026-08-28,St. Pius X (Kansas City),True,23,Rockhurst,True,17,False,False
2026-08-28,Cole Camp,True,7,Russellville,True,42,False,False
2026-08-28,Milan,True,2,Salisbury,True,46,False,False
2026-08-28,Commerce (OK.),False,0,Sarcoxie,True,35,False,False
2026-08-28,Central (New Madrid County),True,6,Saxony Lutheran,True,18,False,False
2026-08-28,Putnam County,True,8,Scotland County,True,14,False,False
2026-08-28,Oakville,True,14,Seckman,True,33,False,False
2026-08-28,East Newton,True,6,Seneca,True,42,False,False
2026-08-28,Crest Ridge with Chilhowee,True,6,Sherwood,True,19,False,False
2026-08-28,Versailles,True,0,Skyline,True,37,False,False
2026-08-28,Wellington-Napoleon,False,42,Salem,True,14,False,False
2026-08-28,Hazelwood Central,True,2,SLUH,True,43,False,False
2026-08-28,Harrisonville,True,14,Smithville,True,35,False,False
2026-08-28,North Callaway,True,42,South Callaway,True,16,False,False
2026-08-28,Mid-Buchanan,True,48,South Harrison,True,6,False,False
2026-08-28,Stanberry,False,88,St. James,True,70,False,False
2026-08-28,Pembroke Hill,True,55,Southeast,False,0,False,False
2026-08-28,Lighthouse Sr. High,False,21,Springfield Catholic,True,42,False,False
2026-08-28,McCluer North,True,43,St. Charles,True,6,False,False
2026-08-28,North Point,True,28,St. Dominic,True,31,False,False
2026-08-28,Salem,True,8,St. James,True,23,False,False
2026-08-28,Elmhurst-IC Catholic (IL.),False,42,St. Mary's South Side,True,14,False,False
2026-08-28,Center,True,35,St. Michael the Archangel,True,16,False,False
2026-08-28,Dexter,True,7,Ste. Genevieve,True,32,False,False
2026-08-28,El Dorado Springs,True,2,Stockton with Sheldon,True,38,False,False
2026-08-28,Carl Junction,True,40,Strafford,True,3,False,False
2026-08-28,Rolla,True,20,Sullivan,True,50,False,False
2026-08-28,St. Mary's (KS) Academy,False,13,Summit Christian Academy,True,41,False,False
2026-08-28,Pocahontas (AR.),False,20,Thayer,True,38,False,False
2026-08-28,East Buchanan,True,41,Trenton,True,15,False,False
2026-08-28,Eureka,True,49,Troy Buchanan,True,48,False,False
2026-08-28,Washington,True,21,Union,True,28,False,False
2026-08-28,Hayti,True,14,Valle Catholic,True,55,False,False
2026-08-28,Westran,True,32,Van-Far,True,14,False,False
2026-08-28,Smith-Cotton,True,21,Warrensburg,True,32,False,False
2026-08-28,Wright City,True,7,Warrenton,True,34,False,False
2026-08-28,Willard,True,34,Waynesville,True,21,False,False
2026-08-28,Francis Howell North,True,8,Webster Groves,True,22,False,False
2026-08-28,Maysville,True,6,West Platte,True,35,False,False
2026-08-28,Holt,True,21,Westminster Christian Academy,True,37,False,False
2026-08-28,Raytown South,True,20,William Chrisman,True,21,False,False
2026-08-28,Crystal City,True,12,Winfield,True,49,False,False
2026-09-04,Strafford,True,23,Adrian,True,7,False,False
2026-09-04,Crystal City,True,14,Affton,True,32,False,False
2026-09-04,Cassville,True,44,Aurora,True,0,False,False
2026-09-04,Logan-Rogersville,True,55,Ava,True,0,False,False
2026-09-04,Capital City,True,38,Battle,True,0,False,False
2026-09-04,Central (St. Joseph),True,47,Benton,True,8,False,False
2026-09-04,Raymore-Peculiar,True,35,Blue Springs,True,32,False,False
2026-09-04,Platte County,True,24,Blue Springs South,True,27,False,False
2026-09-04,Palmyra,True,56,Bowling Green,True,20,False,False
2026-09-04,Lafayette County,True,36,Brookfield,True,52,False,False
2026-09-04,Lawson,True,34,Cameron,True,28,False,False
2026-09-04,De Smet Jesuit,True,49,Cardinal Ritter,True,48,False,False
2026-09-04,Nevada,True,32,Carl Junction,True,28,False,False
2026-09-04,Lebanon,True,12,Carthage,True,49,False,False
2026-09-04,Central (New Madrid County),True,24,Caruthersville,True,68,False,False
2026-09-04,Van Horn,True,10,Center,True,33,False,False
2026-09-04,Jefferson (Festus),True,7,Central (Park Hills),True,27,False,False
2026-09-04,Hallsville,True,21,Centralia,True,52,False,False
2026-09-04,Poplar Bluff,True,14,Chaminade College Prep,True,50,False,False
2026-09-04,SLUH,True,17,Christian Brothers College,True,27,False,False
2026-09-04,Stockton with Sheldon,True,7,Clever,True,28,False,False
2026-09-04,Odessa,True,54,Clinton,True,7,False,False
2026-09-04,Carrollton,True,48,Cole Camp,True,8,False,False
2026-09-04,Salem,True,22,Concordia,False,21,False,False
2026-09-04,Sparta (IL.),False,74,Confluence Prep Academy Charter,True,28,False,False
2026-09-04,West Platte,True,52,Crest Ridge with Chilhowee,True,24,False,False
2026-09-03,Perryville,True,32,DeSoto,True,54,False,False
2026-09-04,Sikeston,True,20,Dexter,True,14,False,False
2026-09-04,Cabool,True,26,Doniphan,True,21,False,False
2026-09-04,KIPP KC Legacy,True,40,East (Kansas City),True,10,False,False
2026-09-04,South Harrison,True,16,East Buchanan,True,33,False,False
2026-09-04,McDonald County,True,27,East Newton,True,28,False,False
2026-09-04,Malden,True,34,East Prairie,True,0,False,False
2026-09-04,Ash Grove,True,38,El Dorado Springs,True,20,False,False
2026-09-04,Versailles,True,28,Eldon,True,0,False,False
2026-09-04,Hannibal,True,29,Eureka,True,28,False,False
2026-09-04,Hillcrest,True,20,Fair Grove,True,52,False,False
2026-09-04,Sullivan,True,0,Farmington,True,55,False,False
2026-09-04,St. Clair,True,40,Father Tolton,True,26,False,False
2026-09-04,Trenton,True,7,Fayette,True,12,False,False
2026-09-04,Herculaneum,True,7,Fredericktown,True,30,False,False
2026-09-04,Lutheran St. Charles,True,6,Ft. Zumwalt East,True,49,False,False
2026-09-03,Francis Howell,True,48,Ft. Zumwalt North,True,20,False,False
2026-09-04,Union,True,23,Ft. Zumwalt West,True,30,False,False
2026-09-04,Penney,True,20,Gallatin with Tri-County,True,7,False,False
2026-09-04,Bayless with Hancock,True,16,Grandview (Hillsboro),True,0,False,False
2026-09-04,Thayer,True,8,Gravette (AR.),False,45,False,False
2026-09-04,Clark County,True,37,Harrisburg,True,0,False,False
2026-09-04,Bolivar,True,33,Harrisonville,True,25,False,False
2026-09-03,Francis Howell Central,True,20,Hazelwood Central,True,7,False,False
2026-09-03,Hillsboro,True,28,Hazelwood East,True,0,False,False
2026-09-04,South Callaway,True,47,Hermann,True,0,False,False
2026-09-04,Helias Catholic,True,31,Hickman,True,13,False,False
2026-09-04,Sarcoxie,True,43,Hollister,True,0,False,False
2026-09-04,Ft. Zumwalt South,True,26,Holt,True,56,False,False
2026-09-04,Springfield Catholic,True,36,Houston,True,29,False,False
2026-09-04,Camdenton,True,61,Jefferson City,True,34,False,False
2026-09-04,Ritenour,True,35,Jennings,True,0,False,False
2026-09-04,Nixa,True,30,Joplin,True,27,False,False
2026-09-04,Grain Valley,True,2,Kearney,True,49,False,False
2026-09-04,Chillicothe,True,24,Kirksville,True,21,False,False
2026-09-04,Seneca,True,12,Lamar,True,20,False,False
2026-09-04,Northeast (Kansas City),True,0,Lathrop,True,67,False,False
2026-09-04,University City,True,47,Lawton (OK.),False,12,False,False
2026-09-04,Park Hill,True,21,Lee's Summit West,True,31,False,False
2026-09-04,Plattsburg,True,26,Lexington,True,14,False,False
2026-09-04,Lafayette (Wildwood),True,27,Liberty (Wentzville),True,20,False,False
2026-09-04,Liberty,True,31,Liberty North,True,54,False,False
2026-09-04,Christ Preparatory (KS.),False,0,Lift for Life Academy Charter,True,16,False,False
2026-09-04,University Academy Charter with Ewing Marion Kauffman,True,50,Lone Jack with Kingsville,True,14,False,False
2026-09-04,Jackson,True,42,Louisville-Ballard (KY.),False,6,False,False
2026-09-04,Blair Oaks,True,49,Lutheran North,True,35,False,False
2026-09-04,Hayti,True,56,Madison (IL.),False,0,False,False
2026-09-04,Rockhurst,True,32,Manhattan (KS.),False,28,False,False
2026-09-04,Salisbury,True,26,Marceline,True,13,False,False
2026-09-04,Forsyth,True,26,Marionville,True,30,False,False
2026-09-04,Monroe City,True,48,Mark Twain,True,0,False,False
2026-09-04,St. Dominic,True,7,Marquette,True,24,False,False
2026-09-04,Principia,True,22,Marquette Catholic (IL.),False,62,False,False
2026-09-04,Boonville,True,62,Marshall,True,20,False,False
2026-09-04,Pleasant Hill,True,20,Maryville,True,41,False,False
2026-09-04,North Platte,True,45,Maysville,True,26,False,False
2026-09-05,McCluer,True,0,McCluer North,True,12,False,False
2026-09-04,St. Pius X (Festus),True,61,Mehlville,True,8,False,False
2026-09-04,Fulton,True,19,Mexico,True,26,False,False
2026-09-04,Putnam County,True,14,Mid-Buchanan,True,56,False,False
2026-09-04,Lee's Summit North,True,14,Millard South (NE.),False,24,False,False
2026-09-04,Liberty (Mountain View),True,14,Miller,True,6,False,False
2026-09-05,Gateway with Soldan International Studies,True,38,Miller Career Academy with Sumner,True,14,False,False
2026-09-04,Osage,True,21,Moberly,True,55,False,False
2026-09-04,Mt. Vernon,True,27,Monett,True,32,False,False
2026-09-04,California,True,33,Montgomery County,True,6,False,False
2026-09-04,Glendale,True,21,Neosho,True,42,False,False
2026-09-04,Macon,True,35,North Callaway,True,28,False,False
2026-09-04,Fox,True,7,Northwest (Cedar Hill),True,27,False,False
2026-09-04,Knob Noster with Leeton,True,0,Oak Grove,True,51,False,False
2026-09-04,North Kansas City,True,42,Oak Park,True,21,False,False
2026-09-03,Lindbergh,True,7,Oakville,True,14,False,False
2026-09-04,Troy Buchanan,True,21,O'Fallon (IL.),False,0,False,False
2026-09-04,Lee's Summit,True,14,Omaha Westside (NE.),False,35,False,False
2026-09-04,Pacific,True,20,Orchard Farm,True,42,False,False
2026-09-04,Grandview,True,20,Park Hill South,True,61,False,False
2026-09-03,Parkway Central,True,6,Parkway North,True,42,False,False
2026-09-04,Parkway West,True,42,Parkway South,True,10,False,False
2026-09-03,Hazelwood West,True,0,Pattonville,True,43,False,False
2026-09-04,Holden,True,0,Pembroke Hill,True,50,False,False
2026-09-04,Central (Kansas City),True,18,"Pleasant Hope with Halfway, Marion C. Early",True,8,False,False
2026-09-04,Saxony Lutheran,True,40,Portageville,True,54,False,False
2026-09-04,Charleston,True,28,Potosi,True,60,False,False
2026-09-04,Kennett,True,54,Priory,True,15,False,False
2026-09-04,Belton,True,9,Raytown,True,32,False,False
2026-09-04,Lincoln College Prep,True,7,Raytown South,True,26,False,False
2026-09-04,Marshfield,True,50,Reeds Spring,True,6,False,False
2026-09-04,Kickapoo,True,10,Republic,True,54,False,False
2026-09-04,MICDS,True,62,Richmond,True,38,False,False
2026-09-05,Normandy Collaborative,True,12,Riverview Gardens,True,20,False,False
2026-09-04,Valle Catholic,True,42,Rockwood Summit,True,7,False,False
2026-09-04,Branson,True,49,Rolla,True,20,False,False
2026-09-04,Winnetonka,True,48,Ruskin,True,32,False,False
2026-09-04,Van-Far,True,6,Russellville,True,47,False,False
2026-09-04,Linn,True,0,Salem,True,35,False,False
2026-09-04,Smithville,True,14,Savannah,True,42,False,False
2026-09-04,Highland,True,14,Scotland County,True,57,False,False
2026-09-04,Kelly,True,37,Scott City with Chaffee,True,15,False,False
2026-09-04,North Point,True,35,Seckman,True,71,False,False
2026-09-04,Rock Bridge,True,31,Smith-Cotton,True,21,False,False
2026-09-04,Westran,True,14,South Shelby,True,37,False,False
2026-09-04,North County,True,13,Southern Boone,True,41,False,False
2026-09-04,Central (Cape Girardeau),True,17,St. Charles West,True,20,False,False
2026-09-04,Owensville,True,0,St. Francis Borgia,True,49,False,False
