school_name,school_id,sport,sport_id,season,schedule_url,scrape_active
417 Mavericks Senior High Home School Association,1781,Football,1,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=1781&alg=1,FALSE
417 Mavericks Senior High Home School Association,1781,Fall Softball,68,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=1781&alg=68,FALSE
417 Mavericks Senior High Home School Association,1781,Girls Volleyball,12,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=1781&alg=12,FALSE
417 Mavericks Senior High Home School Association,1781,Boys Soccer,8,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=1781&alg=8,FALSE
417 Mavericks Senior High Home School Association,1781,Boys Basketball,5,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=1781&alg=5,FALSE
417 Mavericks Senior High Home School Association,1781,Girls Basketball,6,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=1781&alg=6,FALSE
417 Mavericks Senior High Home School Association,1781,Girls Soccer,9,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=1781&alg=9,FALSE
417 Mavericks Senior High Home School Association,1781,Spring Baseball,4,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=1781&alg=4,FALSE
417 Mavericks Senior High Home School Association,1781,Spring Softball,3,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=1781&alg=3,FALSE
AC Preparatory Junior High School,1232,Football,1,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=1232&alg=1,FALSE
AC Preparatory Junior High School,1232,Fall Softball,68,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=1232&alg=68,FALSE
AC Preparatory Junior High School,1232,Girls Volleyball,12,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=1232&alg=12,FALSE
AC Preparatory Junior High School,1232,Boys Soccer,8,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=1232&alg=8,FALSE
AC Preparatory Junior High School,1232,Boys Basketball,5,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=1232&alg=5,FALSE
AC Preparatory Junior High School,1232,Girls Basketball,6,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=1232&alg=6,FALSE
AC Preparatory Junior High School,1232,Girls Soccer,9,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=1232&alg=9,FALSE
AC Preparatory Junior High School,1232,Spring Baseball,4,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=1232&alg=4,FALSE
AC Preparatory Junior High School,1232,Spring Softball,3,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=1232&alg=3,FALSE
Academie Lafayette Charter High School,1567,Football,1,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=1567&alg=1,FALSE
Academie Lafayette Charter High School,1567,Fall Softball,68,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=1567&alg=68,FALSE
Academie Lafayette Charter High School,1567,Girls Volleyball,12,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=1567&alg=12,FALSE
Academie Lafayette Charter High School,1567,Boys Soccer,8,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=1567&alg=8,FALSE
Academie Lafayette Charter High School,1567,Boys Basketball,5,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=1567&alg=5,FALSE
Academie Lafayette Charter High School,1567,Girls Basketball,6,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=1567&alg=6,FALSE
Academie Lafayette Charter High School,1567,Girls Soccer,9,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=1567&alg=9,FALSE
Academie Lafayette Charter High School,1567,Spring Baseball,4,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=1567&alg=4,FALSE
Academie Lafayette Charter High School,1567,Spring Softball,3,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=1567&alg=3,FALSE
Adrian High School,3,Football,1,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=3&alg=1,FALSE
Adrian High School,3,Fall Softball,68,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=3&alg=68,FALSE
Adrian High School,3,Girls Volleyball,12,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=3&alg=12,FALSE
Adrian High School,3,Boys Soccer,8,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=3&alg=8,FALSE
Adrian High School,3,Boys Basketball,5,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=3&alg=5,FALSE
Adrian High School,3,Girls Basketball,6,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=3&alg=6,FALSE
Adrian High School,3,Girls Soccer,9,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=3&alg=9,FALSE
Adrian High School,3,Spring Baseball,4,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=3&alg=4,FALSE
Adrian High School,3,Spring Softball,3,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=3&alg=3,FALSE
Advance High School,6,Football,1,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=6&alg=1,FALSE
Advance High School,6,Fall Softball,68,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=6&alg=68,FALSE
Advance High School,6,Girls Volleyball,12,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=6&alg=12,FALSE
Advance High School,6,Boys Soccer,8,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=6&alg=8,FALSE
Advance High School,6,Boys Basketball,5,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=6&alg=5,FALSE
Advance High School,6,Girls Basketball,6,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=6&alg=6,FALSE
Advance High School,6,Girls Soccer,9,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=6&alg=9,FALSE
Advance High School,6,Spring Baseball,4,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=6&alg=4,FALSE
Advance High School,6,Spring Softball,3,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=6&alg=3,FALSE
Affton High School,4,Football,1,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=4&alg=1,FALSE
Affton High School,4,Fall Softball,68,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=4&alg=68,FALSE
Affton High School,4,Girls Volleyball,12,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=4&alg=12,FALSE
Affton High School,4,Boys Soccer,8,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=4&alg=8,FALSE
Affton High School,4,Boys Basketball,5,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=4&alg=5,FALSE
