school_name,school_id
417 Mavericks Senior High Home School Association,1781
AC Preparatory Junior High School,1232
Academie Lafayette Charter High School,1567
Adrian High School,3
Advance High School,6
Affton High School,4
Albany High School,7
Alton High School,8
Appleton City High School,20
Arcadia Valley High School,242
Archie High School,22
Ash Grove High School,24
Atlanta High School,27
Aurora High School,30
Ava High School,5
Bakersfield High School,9
Ballard High School,210
Barstow High School,508
Battle High School,953
Bayless High School,10
Bell City High School,211
Belle High School,212
Belton High School,12
Benton High School,236
Bernie High School,213
Bevier High School,214
Billings High School,215
Bishop DuBourg High School,509
Bishop LeBlond High School,510
Bismarck High School,216
Blair Oaks High School,217
Bloomfield High School,219
Blue Eye High School,220
Blue Springs High School,14
Blue Springs South High School,15
Bolivar High School,221
Boonville High School,16
Bosworth High School,222
Bourbon High School,223
Bowling Green High School,17
Bradleyville High School,238
Branson High School,399
Brashear High School,239
Braymer High School,240
Breckenridge High School,241
Brentwood High School,19
Bronaugh High School,243
Brookfield High School,244
Brunswick High School,245
Bucklin High School,246
Buffalo High School,21
Bunceton High School,247
Bunker High School,248
Butler High School,249
Cabool High School,23
Cainsville High School,250
California High School,582
Calvary Lutheran High School,769
Camdenton High School,26
Cameron High School,252
Campbell High School,253
Canton High School,254
Capital City High School,1540
Cardinal Ritter High School,511
Carl Junction High School,34
Carrollton High School,36
Carthage High School,38
Caruthersville High School,39
Cassville High School,40
Center High School,43
Central (Cape Girardeau) High School,225
Central (Kansas City) High School,46
Central (New Madrid County) High School,226
Central (Park Hills) High School,255
Central (Springfield) High School,232
Central (St. Joseph) High School,13
Central Visual and Performing Arts High School,50
Centralia High School,53
Chadwick High School,256
Chaffee High School,257
Chaminade College Preparatory High School,512
Chamois High School,258
Charleston High School,259
Chilhowee High School,260
Chillicothe High School,55
Christian Brothers College High School,514
Christian Fellowship High School,1099
Clark County High School,261
Clarkton High School,262
Clayton High School,58
Clearwater High School,264
Clever High School,267
Climax Springs High School,268
Clinton High School,64
Clopton High School,271
Cole Camp High School,272
Columbia Independent High School,566
Community High School,274
Concordia High School,279
Confluence Prep Academy Charter High School,802
Conway High School,280
Cooter High School,281
Cor Jesu Academy High School,515
Couch High School,283
Craig High School,284
Crane High School,287
Crest Ridge High School,67
Cristo Rey High School,915
Crocker High School,288
Crossroads College Preparatory High School,516
Crossroads Preparatory Charter High School,1135
Crystal City High School,68
Cuba High School,289
Dadeville High School,263
De Smet Jesuit High School,517
DeKalb High School,265
DeLaSalle Charter High School (KC),918
Delta (Deering) High School,266
Delta High School,269
DeSoto High School,35
Dexter High School,37
Diamond High School,270
Dixon High School,273
Doniphan High School,42
Dora High School,44
Drexel High School,275
Duchesne High School,518
East (Kansas City) High School,809
East Buchanan High School,45
East Carter High School,276
East Newton High School,47
East Prairie High School,48
El Dorado Springs High School,277
Eldon High School,278
Ellington High School,452
Elsberry High School,52
Eminence High School,282
Eugene High School,285
Eureka High School,56
Everton High School,286
Ewing Marion Kauffman Charter High School,1206
Excelsior Springs High School,296
Exeter High School,400
Fair Grove High School,290
Fair Play High School,291
Fairfax High School,292
Faith Christian Academy High School,1660
Faith Walk Academy High School,1235
Farmington High School,59
Father Tolton Regional Catholic High School,917
Fatima High School,293
Fayette High School,294
Festus High School,60
Fordland High School,295
Fort Osage High School,577
Fox High School,70
Francis Howell Central High School,72
Francis Howell High School,71
Francis Howell North High School,75
Frederick Douglass High School,77
Fredericktown High School,79
Frontier School of Excellence Charter High School,916
Frontier STEM Charter High School,961
Ft. Zumwalt East High School,775
Ft. Zumwalt North High School,63
Ft. Zumwalt South High School,65
Ft. Zumwalt West High School,69
Fulton High School,80
Gainesville High School,297
Galena High School,298
Gallatin High School,299
Gateway High School,25
Gateway Science Academy Charter High School,1030
Gideon High School,300
Gilman City High School,301
Glasgow High School,302
Glendale High School,28
Gloria Deo Academy High School,967
Golden City High School,303
Grain Valley High School,304
Grandview (Hillsboro) High School,29
Grandview High School,237
Green City High School,305
Green Ridge High School,306
Greenfield High School,18
Greenville High School,307
Greenwood High School,567
Grundy County High School,308
Guadalupe Centers Charter High School,785
Hale High School,309
Halfway High School,310
Hallsville High School,311
Hancock High School,148
Hannibal High School,149
Hardin-Central High School,312
Harrisburg High School,313
Harrisonville High School,73
Hartville High School,314
Hayti High School,74
Hazelwood Central High School,76
Hazelwood East High School,78
Hazelwood West High School,81
Helias Catholic High School,522
Herculaneum High School,315
Hermann High School,83
Hermitage High School,316
Hickman High School,85
Higbee High School,317
Highland High School,318
Hillcrest High School,91
Hillsboro High School,93
Hiram Neuwoehner High School,796
Hogan Prep Academy Charter High School,97
Holcomb High School,319
Holden High School,99
Hollister High School,101
Holt High School,320
Houston High School,321
Humansville High School,322
Hume High School,323
Hurley High School,324
Iberia High School,325
Incarnate Word Academy High School,523
Jackson High School,82
Jamestown High School,326
Jasper High School,327
Jefferson (Conception Junction) High School,328
Jefferson (Festus) High School,825
Jefferson City High School,84
Jennings High School,86
John Burroughs High School,524
Joplin High School,87
Kairos Charter High School,1661
Kearney High School,329
Kelly High School,88
Kennett High School,580
Keytesville High School,330
Kickapoo High School,90
King City High School,331
Kingston High School,92
Kingsville High School,332
KIPP KC Legacy Charter High School,1608
KIPP St. Louis Charter High School,1189
Kirksville High School,94
Kirkwood High School,95
Knob Noster High School,96
Knox County High School,333
Koshkonong High School,98
La Monte High School,334
La Plata High School,336
Ladue Horton Watkins High School,100
Lafayette (St. Joseph) High School,102
Lafayette (Wildwood) High School,103
Lafayette County High School,108
Lakeland High School,335
Lamar High School,110
Laquey High School,581
Lathrop High School,337
Lawson High School,112
Lebanon High School,338
Lee's Summit High School,114
Lee's Summit North High School,115
Lee's Summit West High School,117
Leeton High School,339
Leopold High School,340
Lesterville High School,341
Lexington High School,119
Liberal High School,342
Libertas Christian Academy High School,1736
Liberty (Mountain View) High School,343
Liberty (Wentzville) High School,965
Liberty High School,121
Liberty North High School,907
Licking High School,344
Lift for Life Academy Charter High School,810
Lincoln College Prep High School,123
Lincoln High School,345
Lindbergh High School,124
Linn County High School,346
Linn High School,347
Lockwood High School,126
Logan-Rogersville High School,127
Lone Jack High School,348
Louisiana High School,129
Lutheran (Kansas City) High School,527
Lutheran North High School,529
Lutheran South High School,530
Lutheran St. Charles High School,528
Lutie High School,130
Macks Creek High School,349
Macon County High School,350
Macon High School,104
Madison High School,351
Malden High School,105
Malta Bend High School,352
Mansfield High School,353
Maplewood-Richmond Hts. High School,106
Marceline High School,354
Marion C. Early High School,355
Marion County High School,356
Marionville High School,357
Mark Twain High School,358
Marquand-Zion High School,359
Marquette High School,109
Marshall High School,360
Marshfield High School,107
Maryville High School,111
Maysville High School,361
McAuley Catholic High School,568
McCluer High School,113
McCluer North High School,116
McDonald County High School,120
McKinley Classical Leadership High School,811
Meadow Heights High School,362
Meadville High School,363
Mehlville High School,122
Mercer High School,364
Metro High School,125
Mexico High School,128
Miami (Amoret) High School,365
MICDS High School,531
Mid-Buchanan High School,366
Midway High School,367
Milan High School,368
Miller Career Academy High School,131
Miller High School,369
Miriam High School,1256
Missouri Military Academy High School,569
Missouri School for the Blind High School,441
Missouri School for the Deaf High School,442
Moberly High School,132
Monett High School,133
Monroe City High School,134
Montgomery County High School,370
Montrose High School,135
Mound City High School,136
Mountain Grove High School,372
Mt. Vernon High School,371
Naylor High School,373
Neelyville High School,374
Neosho Christian High School,962
Neosho High School,375
Nerinx Hall High School,532
Nevada High School,137
New Bloomfield High School,376
New Covenant Academy High School,533
New Franklin High School,377
New Haven High School,378
New Heights Christian Academy High School,574
Newburg High School,379
Newtown-Harris High School,380
Niangua High School,381
Nixa High School,382
Nodaway-Holt High School,383
Norborne High School,384
Normandy Collaborative High School,138
North Andrew High School,385
North Callaway High School,139
North County High School,140
North Daviess High School,386
North Harrison High School,387
North Kansas City High School,142
North Nodaway High School,388
